Organization Name,Total Stability Rate (All Students),Total Student Mobility Rate (All students),Total Instances of Mobility (All students),Total Mobility Incidence Rate (All students),Students with Disabilities Pupil Count,Students with Disabilities Stable Student Count,Students with Disabilities Stability Rate,Students with Disabilities Mobile Student Count,Students with Disabilities Student Mobility Rate,Students with Disabilities Instances of Mobility,Students with Disabilities Mobility Incidence Rate,English Language Learners Pupil Count,English Language Learners Stable Student Count,English Language Learners Stability Rate,English Language Learners Mobile Student Count,English Language Learners Student Mobility Rate,English Language Learners Instances of Mobility,English Language Learners Mobility Incidence Rate,Economically Disadvantaged Pupil Count,Economically Disadvantaged Stable Student Count,Economically Disadvantaged Stability Rate,Economically Disadvantaged Mobile Student Count,Economically Disadvantaged Student Mobility Rate,Economically Disadvantaged Instances of Mobility,Economically Disadvantaged Mobility Incidence Rate,Migrant Pupil Count,Migrant Stable Student Count,Migrant Stability Rate,Migrant Mobile Student Count,Migrant Student Mobility Rate,Migrant Instances of Mobility,Migrant Mobility Incidence Rate,Title 1 Pupil Count,Title 1 Stable Student Count,Title 1 Pupil Stability Rate,Title 1 Mobile Student Count,Title 1 Student Mobility Rate,Title 1 Instances of Mobility,Title 1 Mobility Incidence Rate,Homeless Pupil Count,Homeless Stable Student Count,Homeless Stability Rate,Homeless Mobile Student Count,Homeless Student Mobility Rate,Homeless Instances of Mobility,Homeless Mobility Incidence Rate,Gifted & Talented Pupil Count,Gifted & Talented Stable Student Count,Gifted & Talented Stability Rate,Gifted & Talented Mobile Student Count,Gifted & Talented Student Mobility Rate,Gifted & Talented Instances of Mobility,Gifted & Talented Mobility Incidence Rate
MAPLETON 1,78.70%,21.30%,"2,518",23.70%,"1,125",952,84.60%,173,15.40%,188,16.70%,"2,727","2,380",87.30%,347,0.127,378,13.90%,"4,986","4,230",84.80%,756,0.15,861,17.30%,47,34,72.30%,13,27.70%,15,31.90%,"3,610","3,065",84.90%,545,15.10%,606,16.80%,186,148,79.60%,38,0.20,44,23.70%,282,268,95.00%,14,5.00%,15,5.30%
ADAMS 12 FIVE STAR SCHOOLS,86.00%,14.00%,"7,045",16.10%,"4,660","3,967",85.10%,693,14.90%,802,17.20%,"8,264","6,776",82.00%,"1,488",0.18,"1,711",20.70%,"15,763","13,017",82.60%,"2,746",0.17,"3,245",20.60%,133,71,53.40%,62,46.60%,73,54.90%,"7,270","5,775",79.40%,"1,495",20.60%,"1,733",23.80%,"1,868","1,368",73.20%,500,0.27,621,33.20%,"4,171","3,963",95.00%,208,5.00%,228,5.50%
ADAMS COUNTY 14,80.80%,19.20%,"1,941",23.40%,959,758,79.00%,201,21.00%,240,25.00%,"3,992","3,330",83.40%,662,0.166,799,20.00%,"6,850","5,570",81.30%,"1,280",0.19,"1,571",22.90%,50,35,70.00%,15,30.00%,16,32.00%,"5,880","4,868",82.80%,"1,012",17.20%,"1,188",20.20%,506,234,46.20%,272,0.54,362,71.50%,403,379,94.00%,24,6.00%,26,6.50%
SCHOOL DISTRICT 27J,86.10%,13.90%,"2,921",15.50%,"2,038","1,751",85.90%,287,14.10%,324,15.90%,"2,498","2,077",83.10%,421,0.169,485,19.40%,"7,252","6,192",85.40%,"1,060",0.15,"1,251",17.30%,102,66,64.70%,36,35.30%,39,38.20%,"1,462","1,242",85.00%,220,15.00%,253,17.30%,305,194,63.60%,111,0.36,149,48.90%,970,896,92.40%,74,7.60%,77,7.90%
BENNETT 29J,87.40%,12.60%,163,14.10%,153,133,86.90%,20,13.10%,22,14.40%,110,91,82.70%,19,0.173,22,20.00%,407,336,82.60%,71,0.17,80,19.70%,7,4,57.10%,3,42.90%,3,42.90%,497,425,85.50%,72,14.50%,81,16.30%,32,26,81.30%,6,0.19,7,21.90%,46,45,97.80%,1,2.20%,1,2.20%
STRASBURG 31J,86.70%,13.30%,155,15.30%,149,132,88.60%,17,11.40%,18,12.10%,58,44,75.90%,14,0.241,17,29.30%,279,235,84.20%,44,0.16,53,19.00%,9,1,11.10%,8,88.90%,11,122.20%,65,54,83.10%,11,16.90%,12,18.50%,22,14,63.60%,8,0.36,11,50.00%,34,33,97.10%,1,2.90%,1,2.90%
WESTMINSTER PUBLIC SCHOOLS,79.10%,20.90%,"2,761",24.70%,"1,396","1,152",82.50%,244,17.50%,284,20.30%,"4,505","3,612",80.20%,893,0.198,"1,070",23.80%,"7,915","6,365",80.40%,"1,550",0.20,"1,877",23.70%,156,120,76.90%,36,23.10%,39,25.00%,"6,283","5,069",80.70%,"1,214",19.30%,"1,412",22.50%,"1,049",598,57.00%,451,0.43,585,55.80%,402,390,97.00%,12,3.00%,15,3.70%
ALAMOSA RE-11J,85.70%,14.30%,457,17.30%,314,277,88.20%,37,11.80%,52,16.60%,357,306,85.70%,51,0.143,64,17.90%,"1,589","1,381",86.90%,208,0.13,259,16.30%,109,73,67.00%,36,33.00%,44,40.40%,"1,407","1,187",84.40%,220,15.60%,262,18.60%,83,53,63.90%,30,0.36,37,44.60%,50,44,88.00%,6,12.00%,6,12.00%
SANGRE DE CRISTO RE-22J,79.90%,20.10%,88,25.30%,24,20,83.30%,4,16.70%,4,16.70%,21,18,85.70%,3,0.143,3,14.30%,207,157,75.80%,50,0.24,66,31.90%,28,20,71.40%,8,28.60%,8,28.60%,348,278,79.90%,70,20.10%,88,25.30%,49,28,57.10%,21,0.43,35,71.40%,8,8,100.00%,0,0.00%,0,0.00%
ENGLEWOOD 1,78.30%,21.70%,830,25.60%,430,363,84.40%,67,15.60%,75,17.40%,408,342,83.80%,66,0.162,72,17.60%,"2,114","1,653",78.20%,461,0.22,550,26.00%,1,1,100.00%,0,0.00%,0,0.00%,"1,664","1,360",81.70%,304,18.30%,358,21.50%,311,173,55.60%,138,0.44,187,60.10%,214,194,90.70%,20,9.30%,21,9.80%
