County Name,Organization Code,Organization Name,"""Class Of…"" Anticpated Year of Graduation Cohort",Number of Years After Entering High School,All Students Final Grad Base,All Students Graduates Total,All Students Graduation Rate,All Students Completers Total,All Students Completion Rate,Female Final Grad Base,Females Graduates Total,Female Graduation Rate,Female Completers Total,Female Completion Rate,Male Final Grad Base, Male Graduates Total,Male Graduation Rate,Male Completers Total,Male Completion Rate,American Indian or Alaska Native Final Grad Base,American Indian or Alaska Native Graduates,American Indian or Alaska Native Graduation Rate,American Indian or Alaska Native Completers Total,American Indian or Alaska Native Completion Rate,American Indian or Alaska Native Female Final Grad Base,American Indian or Alaska Native Female Graduates,American Indian or Alaska Native Female Native Graduation Rate,American Indian or Alaska Native Female Completers Total,American Indian or Alaska Native Female Completion Rate,American Indian or Alaska Native Male Final Grad Base,American Indian or Alaska Native Male Graduates,American Indian or Alaska Native Male Graduation Rate,American Indian or Alaska Native Male Completers Total,American Indian or Alaska Native Male Completion Rate,Asian Final Grad Base,Asian Graduates,Asian Graduation Rate,Asian Completers Total,Asian Completion Rate,Asian Female Final Grad Base,Asian Female Graduates,Asian Female Graduation Rate,Asian Female Completers Total,Asian Female Completion Rate,Asian Male Final Grad Base,Asian Male Graduates,Asian Male Graduation Rate,Asian Male Completers Total,Asian Male Completion Rate,Black or African American Final Grad Base,Black or African American Graduates,Black or African American Graduation Rate,Black or African American Completers Total,Black or African American Completion Rate,Black or African American Female Final Grad Base,Black or African American Female Graduates,Black or African American Female Graduation Rate,Black or African American Female Completers Total,Black or African American Female Completion Rate,Black or African American Male Final Grad Base,Black or African American Male Graduates,Black or African American Male Graduation Rate,Black or African American Male Completers Total,Black or African American Male Completion Rate,Hispanic or Latino Final Grad Base,Hispanic or Latino Graduates,Hispanic or Latino Graduation Rate,Hispanic or Latino Completers Total,Hispanic or Latino Completion Rate,Hispanic or Latino Female Final Grad Base,Hispanic or Latino Female Graduates,Hispanic or Latino Female Graduation Rate,Hispanic or Latino Female Completers Total,Hispanic or Latino Female Completion Rate,Hispanic or Latino Male Final Grad Base,Hispanic or Latino Male Graduates,Hispanic or Latino Male Graduation Rate,Hispanic or Latino Male Completers Total,Hispanic or Latino Male Completion Rate,White Final Grad Base,White Graduates,White Graduation Rate,White Completers Total,White Completion Rate,White Female Final Grad Base,White Female Graduates,White Female Graduation Rate,White Female Completers Total,White Female Completion Rate,White Male Final Grad Base,White Male Graduates,White Male Graduation Rate,White Male Completers Total,White Male Completion Rate,Native Hawaiian or Other Pacific Islander Grad Base,Native Hawaiian or Other Pacific Islander Graduates,Native Hawaiian or Other Pacific Islander Graduation Rate,Native Hawaiian or Other Pacific Islander Completers Total,Native Hawaiian or Other Pacific Islander Completion Rate,Native Hawaiian or Other Pacific Islander Female Grad Base,Native Hawaiian or Other Pacific Islander Female Graduates,Native Hawaiian or Other Pacific Islander Female Graduation Rate,Native Hawaiian or Other Pacific Islander Female Completers Total,Native Hawaiian or Other Pacific Islander Female Completion Rate,Native Hawaiian or Other Pacific Islander Male Grad Base,Native Hawaiian or Other Pacific Islander Male Graduates,Native Hawaiian or Other Pacific Islander Male Graduation Rate,Native Hawaiian or Other Pacific Islander Male Completers Total,Native Hawaiian or Other Pacific Islander Male Completion Rate,Two or More Races Final Grad Base,Two or More Races Graduates,Two or More Races Graduation Rate,Two or More Races Completers Total,Two or More Races Completion Rate,Two or More Races Female Final Grad Base,Two or More Races Female Graduates,Two or More Races Female Graduation Rate,Two or More Races Female Completers Total,Two or More Races Female Completion Rate,Two or More Races Male Final Grad Base,Two or More Races Male Graduates,Two or More Races Male Graduation Rate,Two or More Races Male Completers Total,Two or More Races Male Completion Rate
ADAMS,10,MAPLETON 1,2016-2017,4,708,418,0.59,451,0.64,360,225,0.63,237,0.66,348,193,0.55,214,0.61,7,4,0.57,4,0.57,5,4,0.8,4,0.8,2,0,0,0,0,9,4,0.44,4,0.44,4,0,0,0,0,5,4,0.8,4,0.8,16,10,0.63,10,0.63,9,5,0.56,5,0.56,7,5,0.71,5,0.71,347,229,0.66,239,0.69,164,111,0.68,115,0.7,183,118,0.64,124,0.68,289,152,0.53,173,0.6,156,96,0.62,104,0.67,133,56,0.42,69,0.52,6,3,0.5,3,0.5,3,2,0.67,2,0.67,3,1,0.33,1,0.33,34,16,0.47,18,0.53,19,7,0.37,7,0.37,15,9,0.6,11,0.73
ADAMS,10,MAPLETON 1,2015-2016,5,645,463,0.72,500,0.78,339,257,0.76,275,0.81,306,206,0.67,225,0.74,5,3,0.6,3,0.6,2,1,0.5,1,0.5,3,2,0.67,2,0.67,9,8,0.89,8,0.89,5,5,1,5,1,4,3,0.75,3,0.75,9,6,0.67,7,0.78,7,5,0.71,6,0.86,2,1,0.5,1,0.5,317,242,0.76,246,0.78,168,134,0.8,137,0.82,149,108,0.72,109,0.73,280,187,0.67,216,0.77,149,106,0.71,118,0.79,131,81,0.62,98,0.75,2,0,0,1,0.5,0,0,0,0,0,2,0,0,1,0.5,23,17,0.74,19,0.83,8,6,0.75,8,1,15,11,0.73,11,0.73
ADAMS,10,MAPLETON 1,2014-2015,6,537,388,0.72,423,0.79,281,215,0.77,233,0.83,256,173,0.68,190,0.74,5,4,0.8,5,1,3,3,1,3,1,2,1,0.5,2,1,7,5,0.71,5,0.71,4,3,0.75,3,0.75,3,2,0.67,2,0.67,10,7,0.7,8,0.8,7,5,0.71,6,0.86,3,2,0.67,2,0.67,265,207,0.78,217,0.82,136,112,0.82,118,0.87,129,95,0.74,99,0.77,225,148,0.66,167,0.74,117,81,0.69,90,0.77,108,67,0.62,77,0.71,2,2,1,2,1,2,2,1,2,1,0,0,0,0,0,23,15,0.65,19,0.83,12,9,0.75,11,0.92,11,6,0.55,8,0.73
ADAMS,10,MAPLETON 1,2013-2014,7,516,359,0.7,392,0.76,261,198,0.76,209,0.8,255,161,0.63,183,0.72,7,4,0.57,5,0.71,4,2,0.5,3,0.75,3,2,0.67,2,0.67,6,6,1,6,1,4,4,1,4,1,2,2,1,2,1,12,9,0.75,9,0.75,4,4,1,4,1,8,5,0.63,5,0.63,244,186,0.76,196,0.8,121,102,0.84,106,0.88,123,84,0.68,90,0.73,236,146,0.62,167,0.71,122,81,0.66,87,0.71,114,65,0.57,80,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0.73,9,0.82,6,5,0.83,5,0.83,5,3,0.6,4,0.8
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2016-2017,4,2706,2261,0.84,2280,0.84,1332,1184,0.89,1193,0.9,1374,1077,0.78,1087,0.79,21,15,0.71,15,0.71,9,7,0.78,7,0.78,12,8,0.67,8,0.67,158,144,0.91,144,0.91,69,66,0.96,66,0.96,89,78,0.88,78,0.88,72,53,0.74,55,0.76,37,30,0.81,31,0.84,35,23,0.66,24,0.69,1025,820,0.8,824,0.8,514,448,0.87,451,0.88,511,372,0.73,373,0.73,1395,1202,0.86,1215,0.87,680,614,0.9,619,0.91,715,588,0.82,596,0.83,3,2,0.67,2,0.67,1,1,1,1,1,2,1,0.5,1,0.5,32,25,0.78,25,0.78,22,18,0.82,18,0.82,10,7,0.7,7,0.7
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2015-2016,5,2615,2246,0.86,2275,0.87,1249,1104,0.88,1116,0.89,1366,1142,0.84,1159,0.85,22,18,0.82,19,0.86,11,11,1,11,1,11,7,0.64,8,0.73,155,148,0.95,150,0.97,76,75,0.99,76,1,79,73,0.92,74,0.94,60,48,0.8,48,0.8,22,18,0.82,18,0.82,38,30,0.79,30,0.79,982,814,0.83,819,0.83,472,411,0.87,413,0.88,510,403,0.79,406,0.8,1358,1185,0.87,1205,0.89,646,570,0.88,578,0.89,712,615,0.86,627,0.88,6,6,1,6,1,4,4,1,4,1,2,2,1,2,1,32,27,0.84,28,0.88,18,15,0.83,16,0.89,14,12,0.86,12,0.86
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2014-2015,6,2611,2237,0.86,2270,0.87,1246,1117,0.9,1126,0.9,1365,1120,0.82,1144,0.84,21,17,0.81,17,0.81,11,9,0.82,9,0.82,10,8,0.8,8,0.8,158,150,0.95,150,0.95,81,77,0.95,77,0.95,77,73,0.95,73,0.95,67,57,0.85,57,0.85,30,24,0.8,24,0.8,37,33,0.89,33,0.89,923,782,0.85,789,0.85,436,394,0.9,395,0.91,487,388,0.8,394,0.81,1405,1196,0.85,1222,0.87,670,596,0.89,604,0.9,735,600,0.82,618,0.84,9,9,1,9,1,4,4,1,4,1,5,5,1,5,1,28,26,0.93,26,0.93,14,13,0.93,13,0.93,14,13,0.93,13,0.93
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2013-2014,7,2882,2383,0.83,2441,0.85,1367,1191,0.87,1213,0.89,1515,1192,0.79,1228,0.81,26,18,0.69,20,0.77,14,12,0.86,12,0.86,12,6,0.5,8,0.67,122,111,0.91,111,0.91,61,56,0.92,56,0.92,61,55,0.9,55,0.9,74,63,0.85,63,0.85,32,29,0.91,29,0.91,42,34,0.81,34,0.81,988,806,0.82,818,0.83,474,411,0.87,415,0.88,514,395,0.77,403,0.78,1650,1368,0.83,1411,0.86,776,674,0.87,691,0.89,874,694,0.79,720,0.82,2,1,0.5,2,1,2,1,0.5,2,1,0,0,0,0,0,20,16,0.8,16,0.8,8,8,1,8,1,12,8,0.67,8,0.67
ADAMS,30,ADAMS COUNTY 14,2016-2017,4,521,342,0.66,350,0.67,255,179,0.7,183,0.72,266,163,0.61,167,0.63,4,1,0.25,1,0.25,1,0,0,0,0,3,1,0.33,1,0.33,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,13,7,0.54,7,0.54,7,3,0.43,3,0.43,6,4,0.67,4,0.67,423,287,0.68,291,0.69,203,149,0.73,152,0.75,220,138,0.63,139,0.63,73,41,0.56,44,0.6,38,22,0.58,23,0.61,35,19,0.54,21,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0.71,6,0.86,5,4,0.8,4,0.8,2,1,0.5,2,1
ADAMS,30,ADAMS COUNTY 14,2015-2016,5,538,389,0.72,400,0.74,259,203,0.78,207,0.8,279,186,0.67,193,0.69,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,15,10,0.67,10,0.67,5,4,0.8,4,0.8,10,6,0.6,6,0.6,447,333,0.74,339,0.76,216,176,0.81,179,0.83,231,157,0.68,160,0.69,71,41,0.58,46,0.65,35,20,0.57,21,0.6,36,21,0.58,25,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,2,2,1,2,1,1,1,1,1,1
