2017 SAT and PSAT10 District and School Results  - EMBARGOED UNTIL 10:00 A.M. ON AUGUST 17TH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Means are calculated using only valid scores in the denominator.,,,,,,,,,,,,,,,,
* Values suppressed to protect student privacy.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Test,District Number,District Name,School Number,School Name,Total Students,Valid Scores,Evidence Based Reading and Writing Mean Score,Math Mean Score,Overall Mean Score,Participation Percent,2016 Valid Scores,2016 Evidence Based Reading and Writing Mean Score,2016 Math Mean Score,2016 Overall Mean Score,2016 Participation Percent,Mean Overall Score Change
PSAT  ,0000,STATE RESULTS,0000,STATE RESULTS, 63901,58701,478.0,469.0, 947.0, 91.9,56753,475.6,468.4,944.0,88.3,3.0
PSAT  ,0010,MAPLETON 1,0000,DISTRICT RESULTS,   729,634,437.0,428.8, 865.7, 87.0,549,450.3,434.2,884.4,84.7,-18.7
PSAT  ,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,   105,88,411.7,429.9, 841.6, 83.8,95,427.9,421.2,849.1,87.2,-7.5
PSAT  ,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,    62,60,409.2,408.8, 818.0, 96.8,57,421.9,409.6,831.6,91.9,-13.6
PSAT  ,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,    54,50,410.0,404.2, 814.2, 92.6,40,403.8,424.5,828.3,93.0,-14.1
PSAT  ,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,   121,117,410.5,417.0, 827.5, 96.7,102,431.1,434.0,865.1,91.9,-37.6
PSAT  ,0010,MAPLETON 1,0503,YORK INTERNATIONAL,    68,62,466.3,444.2, 910.5, 91.2,51,438.4,434.1,872.5,96.2,38.0
PSAT  ,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,    35,34,441.2,429.1, 870.3, 97.1,NA,NA,NA,NA,NA,NA
PSAT  ,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,   283,222,465.9,441.2,907.1, 78.4,204,490.2,449.0,939.3,75.6,-32.2
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,DISTRICT RESULTS,  2747,2603,469.9,468.3, 938.2, 94.8,2529,461.0,466.5,927.5,93.3,10.7
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,    74,64,386.1,393.1, 779.2, 86.5,49,394.3,400.0,794.3,80.3,-15.1
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,    67,66,585.0,574.2,1159.2, 98.5,NA,NA,NA,NA,NA,NA
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,   497,481,477.2,481.3, 958.4, 96.8,473,469.0,483.0,952.0,93.7,6.4
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,   564,528,510.4,514.4,1024.9, 93.6,529,511.4,516.3,1027.7,95.0,-2.8
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,   417,393,416.4,416.0, 832.3, 94.2,391,410.0,423.5,833.5,89.1,-1.2
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,   474,455,476.4,457.2, 933.6, 96.0,467,459.4,457.8,917.2,93.8,16.4
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,   508,481,434.5,442.1, 876.5, 94.7,497,435.4,440.8,876.2,94.5,0.3
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,   116,111,536.1,521.7,1057.8, 95.7,97,526.8,504.7,1031.5,99.0,26.3
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,*,< 16,*,*,*,*,< 16,*,*,*,*,*
PSAT  ,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,    19,19,514.7,462.6, 977.4,100.0,19,481.1,453.7,934.7,95.0,42.7
PSAT  ,0030,ADAMS COUNTY 14,0000,DISTRICT RESULTS,   501,465,403.3,411.0, 814.3, 92.8,475,409.2,409.7,818.9,93.5,-4.6
PSAT  ,0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,    38,35,365.4,384.6, 750.0, 92.1,38,359.5,380.0,739.5,88.4,10.5
PSAT  ,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,   462,430,406.4,413.1, 819.5, 93.1,437,413.5,412.2,825.8,94.0,-6.3
PSAT  ,0040,SCHOOL DISTRICT 27J,0000,DISTRICT RESULTS,  1066,921,450.2,445.2, 895.4, 86.4,906,449.0,446.0,895.0,81.9,0.4
PSAT  ,0040,SCHOOL DISTRICT 27J,1021,BRIGHTON HERITAGE ACADEMY,    25,22,378.2,397.7, 775.9, 88.0,22,368.2,375.9,744.1,88.0,31.8
PSAT  ,0040,SCHOOL DISTRICT 27J,1022,BRIGHTON HIGH SCHOOL,   391,339,450.0,447.3, 897.3, 86.7,383,442.2,440.7,882.9,81.8,14.4
PSAT  ,0040,SCHOOL DISTRICT 27J,1560,BOLT ACADEMY,    20,18,451.7,453.3, 905.0, 90.0,< 16,*,*,*,*,*
PSAT  ,0040,SCHOOL DISTRICT 27J,2399,EAGLE RIDGE ACADEMY,   130,126,494.4,478.2, 972.6, 96.9,131,485.4,473.9,959.3,98.5,13.3
PSAT  ,0040,SCHOOL DISTRICT 27J,7129,PRAIRIE VIEW HIGH SCHOOL,   500,416,440.7,435.7, 876.4, 83.2,360,447.7,445.7,893.4,76.9,-17.0
